vuln_id,asset_id,asset_name,asset_type,asset_criticality,cve_id,cvss_score,category,exploit_available,days_unpatched,rbi_clause,nci_clause,sebi_clause,compliance_status
V_UPI_001,UPI_SWITCH_001,NPCI UPI Switch,UPI_SWITCH,9,CVE-2024-1234,8.5,Authentication Bypass,1,12,RBI/2023-24/105.A.3,,,MAPPED
V_UPI_002,UPI_SWITCH_001,NPCI UPI Switch,UPI_SWITCH,9,CVE-2024-2345,7.2,Data Exposure,0,25,RBI/2022-23/098.B.2,,SEBI/HO/ISD/ISD/CIR/P/2020/168,MAPPED
V_CBS_001,CBS_SERVER_001,Core Banking Server,CBS_SERVER,10,CVE-2024-3456,9.1,SQL Injection,1,8,RBI/2023-24/105.C.1,,,MAPPED
V_CBS_002,CBS_SERVER_001,Core Banking Server,CBS_SERVER,10,CVE-2024-4567,6.5,Privilege Escalation,0,40,RBI/2022-23/098.A.1,RBI/2023-24/105.A.1,,MAPPED
V_MOBILE_001,MOBILE_BANKING_001,Mobile Banking App,MOBILE_BANKING_APP,7,CVE-2024-5678,7.8,Insecure Storage,1,15,RBI/2023-24/105.B.2,,,MAPPED
V_MOBILE_002,MOBILE_BANKING_001,Mobile Banking App,MOBILE_BANKING_APP,7,CVE-2024-6789,6.2,Input Validation,0,35,RBI/2022-23/098.C.3,,,MAPPED
V_ATM_001,ATM_NETWORK_001,ATM Switch Network,ATM_SWITCH,8,CVE-2024-7890,8.0,Network Sniffing,1,20,RBI/2023-24/105.D.1,,,MAPPED
V_WEB_001,WEB_PORTAL_001,Internet Banking Portal,WEB_BANKING_PORTAL,8,CVE-2024-8901,8.8,Session Fixation,1,5,RBI/2023-24/105.A.2,RBI/2022-23/098.A.2,,MAPPED
V_WEB_002,WEB_PORTAL_001,Internet Banking Portal,WEB_BANKING_PORTAL,8,CVE-2024-9012,5.5,Cross-Site Scripting,0,55,RBI/2022-23/098.C.1,,,MAPPED
V_USSD_001,USSD_GATEWAY_001,USSD Payment Gateway,USSD_GATEWAY,6,CVE-2024-0123,7.0,Authentication Bypass,1,30,RBI/2023-24/105.A.3,,,MAPPED
V_API_001,API_GATEWAY_001,Payment API Gateway,API_GATEWAY,9,CVE-2024-1111,9.5,Injection,1,3,RBI/2023-24/105.C.1,,,MAPPED
V_API_002,API_GATEWAY_001,Payment API Gateway,API_GATEWAY,9,CVE-2024-2222,6.8,Rate Limiting,0,18,RBI/2022-23/098.D.1,,,MAPPED
V_DB_001,DATABASE_PRIMARY_001,Customer Database Primary,DATABASE,10,CVE-2024-3333,8.2,Privilege Escalation,1,10,RBI/2023-24/105.A.1,RBI/2022-23/098.A.1,,MAPPED
V_DB_002,DATABASE_PRIMARY_001,Customer Database Primary,DATABASE,10,CVE-2024-4444,5.8,Data Exposure,0,45,RBI/2022-23/098.B.1,,,MAPPED
V_AUTH_001,AUTH_SERVER_001,Authentication Server,AUTH_SERVER,9,CVE-2024-5555,9.0,Authentication Bypass,1,7,RBI/2023-24/105.A.2,,,MAPPED
V_AUTH_002,AUTH_SERVER_001,Authentication Server,AUTH_SERVER,9,CVE-2024-6666,7.5,Weak Cryptography,0,22,RBI/2023-24/105.D.2,,,MAPPED
V_LOG_001,LOG_SERVER_001,Security Log Server,LOG_SERVER,5,CVE-2024-7777,4.5,Data Exposure,0,60,RBI/2022-23/098.B.3,,,MAPPED
