asset_id,name,asset_type,business_unit,criticality,daily_transaction_volume,replacement_cost,downtime_cost_per_hour,user_segments,crypto_profile
UPI_SWITCH_001,NPCI UPI Switch,UPI_SWITCH,Payments,9,5000000,500000000,2500000,"[""retail"",""corporate"",""jan_dhan""]",RSA-2048
CBS_SERVER_001,Core Banking Server,CBS_SERVER,Retail Banking,10,1000000,1000000000,5000000,"[""retail"",""corporate""]",RSA-2048
MOBILE_BANKING_001,Mobile Banking App,MOBILE_BANKING_APP,Mobile Channel,7,2000000,200000000,1000000,"[""retail"",""jan_dhan""]",ECC-224
ATM_NETWORK_001,ATM Switch Network,ATM_SWITCH,Channel Banking,8,500000,300000000,1500000,"[""retail""]",RSA-2048
WEB_PORTAL_001,Internet Banking Portal,WEB_BANKING_PORTAL,Online Banking,8,3000000,150000000,750000,"[""retail"",""corporate""]",RSA-2048
USSD_GATEWAY_001,USSD Payment Gateway,USSD_GATEWAY,Payments,6,8000000,100000000,500000,"[""jan_dhan"",""retail""]",RSA-1024
API_GATEWAY_001,Payment API Gateway,API_GATEWAY,Payments,9,7000000,400000000,2000000,"[""corporate"",""retail""]",RSA-2048
DATABASE_PRIMARY_001,Customer Database Primary,DATABASE,Data Management,10,5000000,800000000,4000000,"[""retail"",""corporate"",""jan_dhan""]",RSA-2048
AUTH_SERVER_001,Authentication Server,AUTH_SERVER,Security,9,4000000,200000000,1000000,"[""retail"",""corporate"",""jan_dhan""]",RSA-2048
LOG_SERVER_001,Security Log Server,LOG_SERVER,Compliance,5,10000000,50000000,250000,"[""retail"",""corporate""]",RSA-2048
